site_no,year_month,water_year,year,month,mean_discharge_cfs,sum_daily_mean_cfs,n_days,n_missing_values
09527700,2011-10-01,2012,2011,10,3350.0,20100.0,6,0
09527700,2011-11-01,2012,2011,11,2551.0,76530.0,30,0
09527700,2011-12-01,2012,2011,12,1904.4516129032259,59038.0,31,0
09527700,2012-01-01,2012,2012,1,2339.548387096774,72526.0,31,0
09527700,2012-02-01,2012,2012,2,2935.862068965517,85140.0,29,0
09527700,2012-03-01,2012,2012,3,4471.290322580645,138610.0,31,0
09527700,2012-04-01,2012,2012,4,5400.0,162000.0,30,0
09527700,2012-05-01,2012,2012,5,5117.096774193548,158630.0,31,0
09527700,2012-06-01,2012,2012,6,4865.666666666667,145970.0,30,0
09527700,2012-07-01,2012,2012,7,4568.709677419355,141630.0,31,0
09527700,2012-08-01,2012,2012,8,3768.3870967741937,116820.0,31,0
09527700,2012-09-01,2012,2012,9,3794.3333333333335,113830.0,30,0
09527700,2012-10-01,2013,2012,10,3792.9032258064517,117580.0,31,0
09527700,2012-11-01,2013,2012,11,2598.3333333333335,77950.0,30,0
09527700,2012-12-01,2013,2012,12,1743.774193548387,54057.0,31,0
09527700,2013-01-01,2013,2013,1,2051.0967741935483,63584.0,31,0
09527700,2013-02-01,2013,2013,2,2567.5,71890.0,28,0
09527700,2013-03-01,2013,2013,3,3849.6774193548385,119340.0,31,0
09527700,2013-04-01,2013,2013,4,4798.333333333333,143950.0,30,0
09527700,2013-05-01,2013,2013,5,4532.258064516129,140500.0,31,0
09527700,2013-06-01,2013,2013,6,4368.666666666667,131060.0,30,0
09527700,2013-07-01,2013,2013,7,3977.4193548387098,123300.0,31,0
09527700,2013-08-01,2013,2013,8,3282.2258064516127,101749.0,31,0
09527700,2013-09-01,2013,2013,9,3003.6666666666665,90110.0,30,0
09527700,2013-10-01,2014,2013,10,3772.5806451612902,116950.0,31,0
09527700,2013-11-01,2014,2013,11,2507.0,75210.0,30,0
09527700,2013-12-01,2014,2013,12,1909.774193548387,59203.0,31,0
09527700,2014-01-01,2014,2014,1,1988.0645161290322,61630.0,31,0
09527700,2014-02-01,2014,2014,2,2606.785714285714,72990.0,28,0
09527700,2014-03-01,2014,2014,3,3853.8709677419356,119470.0,31,0
09527700,2014-04-01,2014,2014,4,4492.666666666667,134780.0,30,0
09527700,2014-05-01,2014,2014,5,4610.645161290323,142930.0,31,0
09527700,2014-06-01,2014,2014,6,4639.0,139170.0,30,0
09527700,2014-07-01,2014,2014,7,4505.4838709677415,139670.0,31,0
09527700,2014-08-01,2014,2014,8,3475.8064516129034,107750.0,31,0
09527700,2014-09-01,2014,2014,9,3264.6666666666665,97940.0,30,0
09527700,2014-10-01,2015,2014,10,3232.2580645161293,100200.0,31,0
09527700,2014-11-01,2015,2014,11,2660.3333333333335,79810.0,30,0
09527700,2014-12-01,2015,2014,12,1741.8387096774193,53997.0,31,0
09527700,2015-01-01,2015,2015,1,2118.7096774193546,65680.0,31,0
09527700,2015-02-01,2015,2015,2,2800.714285714286,78420.0,28,0
09527700,2015-03-01,2015,2015,3,3731.2903225806454,115670.0,31,0
09527700,2015-04-01,2015,2015,4,4462.333333333333,133870.0,30,0
09527700,2015-05-01,2015,2015,5,3737.0967741935483,115850.0,31,0
09527700,2015-06-01,2015,2015,6,4152.333333333333,124570.0,30,0
09527700,2015-07-01,2015,2015,7,3930.0,121830.0,31,0
09527700,2015-08-01,2015,2015,8,3875.1612903225805,120130.0,31,0
09527700,2015-09-01,2015,2015,9,3436.6666666666665,103100.0,30,0
09527700,2015-10-01,2016,2015,10,3774.516129032258,117010.0,31,0
09527700,2015-11-01,2016,2015,11,2948.3333333333335,88450.0,30,0
09527700,2015-12-01,2016,2015,12,2360.7419354838707,73183.0,31,0
09527700,2016-01-01,2016,2016,1,1740.3870967741937,53952.0,31,0
09527700,2016-02-01,2016,2016,2,3267.9310344827586,94770.0,29,0
09527700,2016-03-01,2016,2016,3,4143.225806451613,128440.0,31,0
09527700,2016-04-01,2016,2016,4,4163.333333333333,124900.0,30,0
09527700,2016-05-01,2016,2016,5,4462.903225806452,138350.0,31,0
09527700,2016-06-01,2016,2016,6,4329.0,129870.0,30,0
09527700,2016-07-01,2016,2016,7,3906.451612903226,121100.0,31,0
09527700,2016-08-01,2016,2016,8,3598.7096774193546,111560.0,31,0
09527700,2016-09-01,2016,2016,9,3255.0,97650.0,30,0
09527700,2016-10-01,2017,2016,10,3504.1935483870966,108630.0,31,0
09527700,2016-11-01,2017,2016,11,2825.6666666666665,84770.0,30,0
09527700,2016-12-01,2017,2016,12,1942.0645161290322,60204.0,31,0
09527700,2017-01-01,2017,2017,1,1204.774193548387,37348.0,31,0
09527700,2017-02-01,2017,2017,2,2488.9285714285716,69690.0,28,0
09527700,2017-03-01,2017,2017,3,3912.2580645161293,121280.0,31,0
09527700,2017-04-01,2017,2017,4,4424.0,132720.0,30,0
09527700,2017-05-01,2017,2017,5,4497.419354838709,139420.0,31,0
09527700,2017-06-01,2017,2017,6,4847.666666666667,145430.0,30,0
09527700,2017-07-01,2017,2017,7,4205.1612903225805,130360.0,31,0
09527700,2017-08-01,2017,2017,8,3747.7419354838707,116180.0,31,0
09527700,2017-09-01,2017,2017,9,3311.0,99330.0,30,0
09527700,2017-10-01,2018,2017,10,3712.5806451612902,115090.0,31,0
09527700,2017-11-01,2018,2017,11,2747.0,82410.0,30,0
09527700,2017-12-01,2018,2017,12,2529.3548387096776,78410.0,31,0
09527700,2018-01-01,2018,2018,1,1955.774193548387,60629.0,31,0
09527700,2018-02-01,2018,2018,2,2972.5,83230.0,28,0
09527700,2018-03-01,2018,2018,3,3620.0,112220.0,31,0
